id,raw_mean,item,type,dom_id,dimension,score,i_weight,id_original,d_weight,i_weighted,type_score
b.3.4_m_m,0.5997706422018348,Spatial mobility_marginal,indicator,7,Adaptive Capacity,marginal,25.0,b.3.4,20.0,2.9988532110091746,indicator_marginal
b.3_m_m,0.6517630733944955,Flexibility_marginal,domain,7,Adaptive Capacity,marginal,20.0,b.3,20.0,13.03526146788991,domain_marginal
b.4.1,0.5263761467889908,Perceived capacity,indicator,8,Adaptive Capacity,baseline,33.33,b.4.1,20.0,3.5088233944954124,indicator_baseline
b.4.2,0.5229357798165137,Recognition of causality,indicator,8,Adaptive Capacity,baseline,33.33,b.4.2,20.0,3.48588990825688,indicator_baseline
b.4.3,0.39793119266055044,Level of participation,indicator,8,Adaptive Capacity,baseline,33.33,b.4.3,20.0,2.6526093302752285,indicator_baseline
b.4,0.48241437308868507,Agency,domain,8,Adaptive Capacity,baseline,20.0,b.4,20.0,9.648287461773702,domain_baseline
b.4.1_m_m,0.4736238532110092,Perceived capacity_marginal,indicator,8,Adaptive Capacity,marginal,33.33,b.4.1,20.0,3.1571766055045867,indicator_marginal
b.4.2_m_m,0.47706422018348627,Recognition of causality_marginal,indicator,8,Adaptive Capacity,marginal,33.33,b.4.2,20.0,3.180110091743119,indicator_marginal
b.4.3_m_m,0.6020688073394496,Level of participation_marginal,indicator,8,Adaptive Capacity,marginal,33.33,b.4.3,20.0,4.01339066972477,indicator_marginal
b.4_m_m,0.5175856269113149,Agency_marginal,domain,8,Adaptive Capacity,marginal,20.0,b.4,20.0,10.351712538226298,domain_marginal
b.5.1,0.7199541284403671,Trust in organizations,indicator,9,Adaptive Capacity,baseline,33.33,b.5.1,20.0,4.799214220183487,indicator_baseline
b.5.2,0.6980151376146789,Community cohesion,indicator,9,Adaptive Capacity,baseline,33.33,b.5.2,20.0,4.652968907339449,indicator_baseline
b.5.3,0.6330275229357798,Linking social capital,indicator,9,Adaptive Capacity,baseline,33.33,b.5.3,20.0,4.219761467889907,indicator_baseline
b.5,0.6836655963302752,Organization,domain,9,Adaptive Capacity,baseline,20.0,b.5,20.0,13.673311926605505,domain_baseline
b.5.1_m_m,0.2800458715596329,Trust in organizations_marginal,indicator,9,Adaptive Capacity,marginal,33.33,b.5.1,20.0,1.8667857798165128,indicator_marginal
b.5.2_m_m,0.3019848623853211,Community cohesion_marginal,indicator,9,Adaptive Capacity,marginal,33.33,b.5.2,20.0,2.01303109266055,indicator_marginal
b.5.3_m_m,0.3669724770642202,Linking social capital_marginal,indicator,9,Adaptive Capacity,marginal,33.33,b.5.3,20.0,2.4462385321100917,indicator_marginal
b.5_m_m,0.31633440366972476,Organization_marginal,domain,9,Adaptive Capacity,marginal,20.0,b.5,20.0,6.326688073394495,domain_marginal
